,Asian,Black,Hispanic,Mixed,Other,White,postal_code
274,0.0%,0.3%,1.0%,0.6%,0.0%,98.1%,61856
275,2.3%,34.3%,2.6%,2.2%,0.4%,58.1%,44118
276,1.3%,14.4%,2.8%,1.4%,0.2%,79.9%,70563
277,0.0%,0.0%,4.5%,1.6%,2.8%,91.2%,73730
278,0.8%,3.0%,0.1%,0.7%,0.3%,95.0%,61878
279,1.5%,9.9%,70.9%,1.3%,1.2%,15.3%,85353
280,2.9%,1.1%,1.2%,0.6%,0.6%,93.6%,15237
281,0.0%,9.9%,0.0%,4.2%,0.0%,85.9%,15031
282,4.2%,28.8%,0.0%,0.0%,8.1%,58.9%,71069
283,4.5%,1.5%,4.8%,1.3%,0.3%,87.6%,85254
284,0.0%,1.9%,10.4%,2.4%,0.0%,85.3%,28730
285,25.6%,2.3%,13.3%,11.0%,1.2%,46.5%,89179
286,3.3%,6.3%,28.9%,2.8%,2.5%,56.2%,85302
287,10.4%,1.8%,10.6%,1.9%,0.8%,74.4%,85284
288,0.3%,68.5%,0.6%,2.3%,0.0%,28.3%,44117
289,1.9%,51.3%,2.7%,1.9%,0.1%,42.1%,72202
290,0.7%,0.0%,0.4%,0.4%,0.2%,98.4%,61864
291,5.2%,2.2%,12.7%,2.7%,0.6%,76.6%,85234
292,14.0%,5.1%,3.3%,1.1%,1.5%,75.1%,15232
293,0.0%,21.6%,6.7%,2.6%,0.0%,69.1%,71067
294,8.2%,12.2%,22.7%,4.4%,0.0%,52.4%,89085
295,3.4%,28.2%,10.2%,0.6%,0.8%,56.8%,27262
296,0.9%,1.3%,13.1%,3.0%,0.8%,80.9%,89410
297,1.9%,3.6%,0.6%,0.6%,0.1%,93.2%,15129
298,0.0%,0.0%,21.2%,0.0%,0.0%,78.8%,89054
299,1.0%,2.6%,27.8%,1.1%,2.6%,64.9%,85203
300,0.0%,0.3%,2.2%,0.0%,0.4%,97.1%,15034
301,1.7%,1.8%,9.1%,2.0%,71.2%,14.3%,85264
302,8.6%,5.6%,14.4%,2.8%,0.8%,67.8%,89074
303,11.4%,11.4%,5.0%,0.7%,0.5%,71.1%,15222
304,0.5%,5.6%,78.3%,0.4%,1.9%,13.3%,85031
305,0.0%,9.8%,0.0%,0.0%,0.0%,90.2%,71336
306,0.8%,15.6%,64.2%,0.4%,4.1%,15.1%,85034
307,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,15086
308,0.1%,2.1%,0.0%,0.5%,0.0%,97.3%,15085
309,0.0%,15.9%,0.8%,3.4%,0.0%,79.8%,15140
310,0.0%,0.0%,0.0%,0.0%,0.0%,100.0%,15064
311,2.4%,16.6%,65.8%,1.2%,1.0%,13.0%,85041
312,0.0%,0.0%,2.7%,0.8%,0.0%,96.4%,61844
313,15.0%,8.4%,21.9%,6.0%,2.3%,46.4%,89183
314,0.7%,0.6%,5.6%,1.0%,4.0%,88.1%,53965
315,3.7%,0.7%,1.5%,0.5%,0.4%,93.2%,15101
316,6.5%,1.5%,8.3%,1.9%,0.7%,81.1%,85050
317,1.7%,12.1%,56.3%,1.3%,2.9%,25.7%,85008
318,2.5%,8.2%,30.7%,2.4%,3.4%,52.8%,85307
319,1.1%,1.4%,3.0%,0.3%,0.1%,94.1%,44039
320,1.4%,2.8%,15.0%,2.4%,1.9%,76.5%,85205
321,7.1%,7.1%,20.4%,3.3%,1.6%,60.4%,85224
322,2.9%,1.9%,35.6%,0.7%,0.1%,58.7%,85363
323,2.2%,0.5%,41.8%,1.4%,0.6%,53.5%,93013
324,2.7%,7.4%,4.4%,1.2%,0.6%,83.8%,28173
325,0.4%,0.9%,3.5%,2.3%,0.0%,92.8%,61858
326,14.3%,1.6%,3.3%,3.1%,0.4%,77.3%,53705
327,0.0%,2.0%,1.0%,0.2%,2.2%,94.5%,54558
328,7.5%,13.5%,38.8%,2.3%,1.1%,36.7%,89119
329,1.6%,25.8%,2.2%,3.2%,0.4%,66.9%,15201
330,0.6%,0.7%,1.0%,1.4%,0.1%,96.2%,44140
331,0.0%,2.3%,4.6%,1.2%,1.2%,90.7%,73773
332,2.8%,5.2%,35.0%,2.5%,1.1%,53.5%,85345
333,1.9%,15.1%,13.4%,4.0%,0.5%,65.1%,44111
334,4.0%,6.2%,28.1%,2.3%,3.6%,55.8%,85202
335,0.6%,29.1%,4.6%,3.6%,0.6%,61.5%,71032
336,1.0%,82.3%,2.2%,1.3%,0.2%,13.0%,29203
337,1.6%,4.0%,18.4%,1.7%,1.1%,73.1%,85251
338,1.8%,0.0%,0.9%,0.2%,0.0%,97.1%,15015
339,0.8%,1.4%,0.9%,0.2%,0.0%,96.8%,12979
340,19.5%,7.4%,16.2%,4.8%,0.6%,51.7%,89141
341,0.0%,0.3%,0.3%,0.0%,0.5%,98.9%,28101
342,2.8%,1.9%,8.3%,0.9%,0.2%,85.9%,85253
343,0.6%,3.2%,0.6%,1.7%,0.1%,93.8%,44278
344,3.8%,6.4%,1.4%,3.6%,0.3%,84.5%,44240
345,1.6%,2.0%,8.4%,0.7%,0.5%,86.8%,85250
346,0.4%,1.6%,1.1%,1.0%,0.1%,95.8%,15009
347,3.1%,5.4%,5.2%,0.9%,0.2%,85.2%,28012
348,0.3%,0.1%,0.6%,0.5%,0.6%,97.8%,15332
349,3.3%,5.7%,26.5%,1.6%,1.8%,61.1%,85020
350,5.4%,25.8%,40.8%,2.9%,2.0%,23.0%,89032
351,0.3%,0.1%,4.5%,0.3%,0.0%,94.8%,61880
352,0.9%,56.7%,2.7%,2.8%,0.3%,36.6%,44146
353,7.6%,2.8%,4.6%,2.2%,0.3%,82.5%,53703
354,0.2%,0.0%,0.8%,0.7%,0.9%,97.4%,05440
355,1.0%,10.0%,2.6%,5.1%,0.2%,81.2%,15003
356,0.2%,2.9%,14.1%,1.7%,21.8%,59.2%,86023
357,2.6%,2.4%,27.5%,1.5%,0.6%,65.4%,85396
358,0.2%,1.6%,1.7%,1.2%,0.3%,95.1%,15037
359,0.7%,1.9%,3.4%,0.7%,0.0%,93.3%,28037
360,0.4%,3.6%,0.3%,0.7%,0.0%,94.9%,15131
361,0.4%,75.1%,1.8%,1.5%,0.5%,20.7%,71101
362,7.2%,11.1%,14.1%,2.8%,1.1%,63.7%,89149
363,5.5%,1.7%,11.6%,5.3%,2.2%,73.7%,95966
364,3.4%,1.3%,1.6%,1.2%,0.1%,92.3%,15234
365,0.3%,53.2%,9.6%,0.5%,0.6%,35.8%,44127
366,3.4%,6.3%,30.6%,2.5%,1.1%,56.1%,89120
367,3.6%,0.8%,8.1%,2.0%,0.7%,84.7%,85087
368,8.5%,4.0%,10.7%,2.9%,1.1%,72.7%,89012
369,6.9%,21.0%,4.3%,2.6%,0.7%,64.5%,61821
370,0.6%,23.2%,20.5%,3.2%,0.4%,52.0%,44052
371,3.7%,0.6%,2.0%,0.6%,0.2%,93.0%,15632
372,13.9%,3.6%,11.9%,3.2%,0.7%,66.8%,89052
373,0.5%,5.1%,47.8%,1.9%,1.3%,43.4%,85335
374,3.8%,0.0%,0.7%,0.5%,0.0%,95.0%,15668
375,0.6%,12.7%,3.9%,2.2%,0.3%,80.3%,19464
376,9.0%,4.8%,4.0%,2.1%,0.3%,79.9%,15217
377,0.4%,0.0%,1.3%,1.6%,0.0%,96.8%,61843
378,1.2%,1.4%,6.1%,0.6%,0.2%,90.5%,44054
379,3.1%,3.1%,20.3%,2.5%,2.0%,69.0%,85023
380,3.6%,15.8%,13.5%,3.2%,0.1%,63.7%,28210
381,0.7%,1.7%,11.2%,2.1%,0.8%,83.6%,85119
382,0.0%,7.4%,23.8%,0.0%,0.0%,68.8%,86445
383,0.1%,10.9%,2.1%,1.0%,0.0%,85.8%,28016
384,0.8%,0.4%,0.9%,0.7%,0.0%,97.1%,15642
385,1.6%,5.2%,1.1%,4.6%,0.4%,87.1%,15056
386,3.9%,4.1%,41.2%,1.7%,3.2%,45.9%,85705
387,0.1%,90.4%,1.6%,1.3%,0.3%,6.4%,44112
388,2.1%,3.0%,1.5%,0.9%,0.0%,92.6%,44234
389,6.4%,3.3%,4.8%,2.6%,0.1%,82.7%,53562
390,2.6%,16.8%,21.6%,0.7%,0.0%,58.3%,28134
391,4.5%,2.5%,4.3%,1.4%,0.3%,87.1%,44130
392,0.8%,11.7%,1.1%,2.1%,0.4%,83.9%,44092
393,1.2%,17.1%,7.2%,2.3%,0.5%,71.7%,27278
394,6.6%,1.1%,4.7%,1.7%,0.5%,85.4%,85259
